Name,Team,Number,Position,Age,Height,Weight,College
Avery Bradley,Boston Celtics,0,PG,25,2-Jun,180,Texas
Jae Crowder,Boston Celtics,99,SF,25,6-Jun,235,Marquette
John Holland,Boston Celtics,30,SG,27,5-Jun,205,Boston University
R.J. Hunter,Boston Celtics,28,SG,22,5-Jun,185,Georgia State
Jonas Jerebko,Boston Celtics,8,PF,29,10-Jun,231,
Amir Johnson,Boston Celtics,90,PF,29,9-Jun,240,
Jordan Mickey,Boston Celtics,55,PF,21,8-Jun,235,LSU
Kelly Olynyk,Boston Celtics,41,C,25,Jul-00,238,Gonzaga
Terry Rozier,Boston Celtics,12,PG,22,2-Jun,190,Louisville
Marcus Smart,Boston Celtics,36,PG,22,4-Jun,220,Oklahoma State
Jared Sullinger,Boston Celtics,7,C,24,9-Jun,260,Ohio State
Isaiah Thomas,Boston Celtics,4,PG,27,9-May,185,Washington
Evan Turner,Boston Celtics,11,SG,27,7-Jun,220,Ohio State
James Young,Boston Celtics,13,SG,20,6-Jun,215,Kentucky
Tyler Zeller,Boston Celtics,44,C,26,Jul-00,253,North Carolina
Bojan Bogdanovic,Brooklyn Nets,44,SG,27,8-Jun,216,
Markel Brown,Brooklyn Nets,22,SG,24,3-Jun,190,Oklahoma State
Wayne Ellington,Brooklyn Nets,21,SG,28,4-Jun,200,North Carolina
Rondae Hollis-Jefferson,Brooklyn Nets,24,SG,21,7-Jun,220,Arizona
Jarrett Jack,Brooklyn Nets,2,PG,32,3-Jun,200,Georgia Tech
Sergey Karasev,Brooklyn Nets,10,SG,22,7-Jun,208,
Sean Kilpatrick,Brooklyn Nets,6,SG,26,4-Jun,219,Cincinnati
Shane Larkin,Brooklyn Nets,0,PG,23,11-May,175,Miami (FL)
Brook Lopez,Brooklyn Nets,11,C,28,Jul-00,275,Stanford
Chris McCullough,Brooklyn Nets,1,PF,21,11-Jun,200,Syracuse
Willie Reed,Brooklyn Nets,33,PF,26,10-Jun,220,Saint Louis
Thomas Robinson,Brooklyn Nets,41,PF,25,10-Jun,237,Kansas
Henry Sims,Brooklyn Nets,14,C,26,10-Jun,248,Georgetown
Donald Sloan,Brooklyn Nets,15,PG,28,3-Jun,205,Texas A&M
Thaddeus Young,Brooklyn Nets,30,PF,27,8-Jun,221,Georgia Tech
Arron Afflalo,New York Knicks,4,SG,30,5-Jun,210,UCLA
Lou Amundson,New York Knicks,17,PF,33,9-Jun,220,UNLV
Thanasis Antetokounmpo,New York Knicks,43,SF,23,7-Jun,205,
Carmelo Anthony,New York Knicks,7,SF,32,8-Jun,240,Syracuse
Jose Calderon,New York Knicks,3,PG,34,3-Jun,200,
Cleanthony Early,New York Knicks,11,SF,25,8-Jun,210,Wichita State
Langston Galloway,New York Knicks,2,SG,24,2-Jun,200,Saint Joseph's
Jerian Grant,New York Knicks,13,PG,23,4-Jun,195,Notre Dame
Robin Lopez,New York Knicks,8,C,28,Jul-00,255,Stanford
Kyle O'Quinn,New York Knicks,9,PF,26,10-Jun,250,Norfolk State
Kristaps Porzingis,New York Knicks,6,PF,20,3-Jul,240,
Kevin Seraphin,New York Knicks,1,C,26,10-Jun,278,
Lance Thomas,New York Knicks,42,SF,28,8-Jun,235,Duke
Sasha Vujacic,New York Knicks,18,SG,32,7-Jun,195,
Derrick Williams,New York Knicks,23,PF,25,8-Jun,240,Arizona
Tony Wroten,New York Knicks,5,SG,23,6-Jun,205,Washington
Elton Brand,Philadelphia 76ers,42,PF,37,9-Jun,254,Duke
Isaiah Canaan,Philadelphia 76ers,0,PG,25,Jun-00,201,Murray State
Robert Covington,Philadelphia 76ers,33,SF,25,9-Jun,215,Tennessee State
Joel Embiid,Philadelphia 76ers,21,C,22,Jul-00,250,Kansas
Jerami Grant,Philadelphia 76ers,39,SF,22,8-Jun,210,Syracuse
Richaun Holmes,Philadelphia 76ers,22,PF,22,10-Jun,245,Bowling Green
Carl Landry,Philadelphia 76ers,7,PF,32,9-Jun,248,Purdue
Kendall Marshall,Philadelphia 76ers,5,PG,24,4-Jun,200,North Carolina
T.J. McConnell,Philadelphia 76ers,12,PG,24,2-Jun,200,Arizona
Nerlens Noel,Philadelphia 76ers,4,PF,22,11-Jun,228,Kentucky
Jahlil Okafor,Philadelphia 76ers,8,C,20,11-Jun,275,Duke
Ish Smith,Philadelphia 76ers,1,PG,27,Jun-00,175,Wake Forest
Nik Stauskas,Philadelphia 76ers,11,SG,22,6-Jun,205,Michigan
Hollis Thompson,Philadelphia 76ers,31,SG,25,8-Jun,206,Georgetown
Christian Wood,Philadelphia 76ers,35,PF,20,11-Jun,220,UNLV
Bismack Biyombo,Toronto Raptors,8,C,23,9-Jun,245,
Bruno Caboclo,Toronto Raptors,20,SF,20,9-Jun,205,
DeMarre Carroll,Toronto Raptors,5,SF,29,8-Jun,212,Missouri
DeMar DeRozan,Toronto Raptors,10,SG,26,7-Jun,220,USC
James Johnson,Toronto Raptors,3,PF,29,9-Jun,250,Wake Forest
Cory Joseph,Toronto Raptors,6,PG,24,3-Jun,190,Texas
Kyle Lowry,Toronto Raptors,7,PG,30,Jun-00,205,Villanova
Lucas Nogueira,Toronto Raptors,92,C,23,Jul-00,220,
Patrick Patterson,Toronto Raptors,54,PF,27,9-Jun,235,Kentucky
Norman Powell,Toronto Raptors,24,SG,23,4-Jun,215,UCLA
Terrence Ross,Toronto Raptors,31,SF,25,7-Jun,195,Washington
Luis Scola,Toronto Raptors,4,PF,36,9-Jun,240,
Jason Thompson,Toronto Raptors,1,PF,29,11-Jun,250,Rider
Jonas Valanciunas,Toronto Raptors,17,C,24,Jul-00,255,
Delon Wright,Toronto Raptors,55,PG,24,5-Jun,190,Utah
Leandro Barbosa,Golden State Warriors,19,SG,33,3-Jun,194,
Harrison Barnes,Golden State Warriors,40,SF,24,8-Jun,225,North Carolina
Andrew Bogut,Golden State Warriors,12,C,31,Jul-00,260,Utah
Ian Clark,Golden State Warriors,21,SG,25,3-Jun,175,Belmont
Stephen Curry,Golden State Warriors,30,PG,28,3-Jun,190,Davidson
Festus Ezeli,Golden State Warriors,31,C,26,11-Jun,265,Vanderbilt
Draymond Green,Golden State Warriors,23,PF,26,7-Jun,230,Michigan State
Andre Iguodala,Golden State Warriors,9,SF,32,6-Jun,215,Arizona
Shaun Livingston,Golden State Warriors,34,PG,30,7-Jun,192,
Kevon Looney,Golden State Warriors,36,SF,20,9-Jun,220,UCLA
James Michael McAdoo,Golden State Warriors,20,SF,23,9-Jun,240,North Carolina
Brandon Rush,Golden State Warriors,4,SF,30,6-Jun,220,Kansas
Marreese Speights,Golden State Warriors,5,C,28,10-Jun,255,Florida
Klay Thompson,Golden State Warriors,11,SG,26,7-Jun,215,Washington State
Anderson Varejao,Golden State Warriors,18,PF,33,11-Jun,273,
