"playerid","birthyear","birthcountry","deathyear","namefirst","namelast","weight","height","bats","throws"
"aardsda01",1981,"USA",NULL,"David","Aardsma",215,75,"R","R"
"aaronha01",1934,"USA",NULL,"Hank","Aaron",180,72,"R","R"
"aaronto01",1939,"USA",1984,"Tommie","Aaron",190,75,"R","R"
"aasedo01",1954,"USA",NULL,"Don","Aase",190,75,"R","R"
"abadan01",1972,"USA",NULL,"Andy","Abad",184,73,"L","L"
"abadfe01",1985,"D.R.",NULL,"Fernando","Abad",220,73,"L","L"
"abadijo01",1850,"USA",1905,"John","Abadie",192,72,"R","R"
"abbated01",1877,"USA",1957,"Ed","Abbaticchio",170,71,"R","R"
"abbeybe01",1869,"USA",1962,"Bert","Abbey",175,71,"R","R"
"abbeych01",1866,"USA",1926,"Charlie","Abbey",169,68,"L","L"
"abbotda01",1862,"USA",1930,"Dan","Abbott",190,71,"R","R"
"abbotfr01",1874,"USA",1935,"Fred","Abbott",180,70,"R","R"
"abbotgl01",1951,"USA",NULL,"Glenn","Abbott",200,78,"R","R"
"abbotje01",1972,"USA",NULL,"Jeff","Abbott",190,74,"R","L"
"abbotji01",1967,"USA",NULL,"Jim","Abbott",200,75,"L","L"
"abbotku01",1969,"USA",NULL,"Kurt","Abbott",180,71,"R","R"
"abbotky01",1968,"USA",NULL,"Kyle","Abbott",200,76,"L","L"
"abbotod01",1886,"USA",1933,"Ody","Abbott",165,69,"L","R"
"abbotpa01",1967,"USA",NULL,"Paul","Abbott",185,75,"R","R"
"aberal01",1927,"USA",1993,"Al","Aber",195,74,"L","L"
"abercda01",1850,"USA",1939,"Frank","Abercrombie",NULL,NULL,NULL,NULL
"abercre01",1980,"USA",NULL,"Reggie","Abercrombie",215,75,"R","R"
"abernbi01",1929,"USA",2006,"Bill","Abernathie",190,70,"R","R"
"abernbr01",1977,"USA",NULL,"Brent","Abernathy",185,73,"R","R"
"abernte01",1921,"USA",2001,"Ted","Abernathy",210,74,"R","L"
"abernte02",1933,"USA",2004,"Ted","Abernathy",215,76,"R","R"
"abernwo01",1915,"USA",1994,"Woody","Abernathy",170,72,"L","L"
"aberscl01",1921,"USA",1973,"Cliff","Aberson",200,72,"R","R"
"ablesha01",1883,"USA",1951,"Harry","Ables",200,74,"R","L"
"abnersh01",1966,"USA",NULL,"Shawn","Abner",190,73,"R","R"
"abramca01",1924,"USA",1997,"Cal","Abrams",185,72,"L","L"
"abramge01",1899,"USA",1986,"George","Abrams",170,69,"R","R"
"abregjo01",1962,"USA",NULL,"Johnny","Abrego",185,72,"R","R"
"abreubo01",1974,"Venezuela",NULL,"Bobby","Abreu",220,72,"L","R"
"abreujo01",1913,"USA",1993,"Joe","Abreu",160,68,"R","R"
"abreujo02",1987,"Cuba",NULL,"Jose","Abreu",255,75,"R","R"
"abreuju01",1985,"D.R.",NULL,"Juan","Abreu",185,72,"R","R"
"abreuto01",1984,"D.R.",NULL,"Tony","Abreu",200,70,"B","R"
"abreuwi01",1977,"D.R.",NULL,"Winston","Abreu",170,74,"R","R"
"abstebi01",1883,"USA",1940,"Bill","Abstein",185,72,"R","R"
"accarje01",1981,"USA",NULL,"Jeremy","Accardo",195,72,"R","R"
"aceveal01",1982,"Mexico",NULL,"Alfredo","Aceves",205,74,"R","R"
"acevejo01",1977,"D.R.",NULL,"Jose","Acevedo",185,72,"R","R"
"aceveju01",1970,"Mexico",NULL,"Juan","Acevedo",245,74,"R","R"
"achteaj01",1988,"USA",NULL,"A. J.","Achter",215,77,"R","R"
"ackerji01",1958,"USA",NULL,"Jim","Acker",210,74,"R","R"
